state,year,error
AL,2011,5.000000003773087
AL,2012,32.05899742114721
AL,2013,3.0000000012155477
AL,2014,4.671530429297101e-9
AL,2015,5.000000002003237
AL,2016,11.167733202168305
AL,2017,36.0161891453385
AL,2018,16.000000002003237
AR,2011,1.0000000037730865
AR,2012,44.00000000000192
AR,2013,16.000000000001922
AR,2014,9.000000000001924
AR,2015,16.000000002003237
AR,2016,7.05105586035848
AR,2017,15.000000000001922
AR,2018,6.000000001551226
AZ,2011,48.00000000000192
AZ,2012,86.00000000000192
AZ,2013,49.00000000000192
AZ,2014,74.44152835070074
AZ,2015,66.50811033595326
AZ,2016,49.38253934551201
AZ,2017,93.00000000000192
AZ,2018,24.000000000001922
CA,2011,110.00000000000192
CA,2012,268.1782270713457
CA,2013,225.50284473856755
CA,2014,529.4942717737232
CA,2015,478.1981898324972
CA,2016,307.8817071546944
CA,2017,359.903564338924
CA,2018,135.7641754120705
CO,2011,2.000000003773086
CO,2012,62.00000000200324
CO,2013,90.00000000000192
CO,2014,46.00000000000192
CO,2015,57.00000000000192
CO,2016,59.00000000000192
CO,2017,29.000000002003237
CO,2018,52.00000000000192
CT,2011,8.000000002357037
CT,2012,12.000000000001922
CT,2013,1.0000000032554812
CT,2014,3.0000000032554808
CT,2015,8.000000003668811
CT,2016,1.0000000037730865
CT,2017,2.000000003773086
CT,2018,18.000000000001926
DC,2011,10.000000002357037
DC,2012,8.000000001551227
DC,2013,4.671530429297094e-9
DC,2014,1.0000000037730865
DC,2015,3.000000007756884
DC,2016,1.0000000037730865
DC,2017,1.0000000032554812
DC,2018,7.000000002003237
DE,2011,1.0000000032554812
DE,2012,2.0000000032554808
DE,2013,3.0000000019050255
DE,2014,4.671530429297102e-9
DE,2015,4.671530429297096e-9
DE,2016,4.671530429297101e-9
DE,2017,4.671530429297102e-9
DE,2018,8.000000000001924
FL,2011,20.000000000001926
FL,2012,45.736071088767034
FL,2013,3.114521239463815
FL,2014,12.00000000366881
FL,2015,9.407518319592768
FL,2016,6.000000001551226
FL,2017,3.096673996270601
FL,2018,21.967545788005747
GA,2011,14.000000000001922
GA,2012,42.67654568496657
GA,2013,4.000000007756883
GA,2014,10.461728732605046
GA,2015,13.000000000001922
GA,2016,4.00000000366881
GA,2017,37.524610445999635
GA,2018,24.382539961064943
IA,2011,5.000000002357037
IA,2012,11.000000002003237
IA,2013,24.000000000001926
IA,2014,5.000000002357037
IA,2015,4.000000002357037
IA,2016,16.000000000001922
IA,2017,10.000000002003237
IA,2018,58.00000000200324
ID,2011,1.0000000037730865
ID,2012,5.000000000001924
ID,2013,14.000000000001922
ID,2014,6.000000002357037
ID,2015,5.000000003419286
ID,2016,3.0000000037730863
ID,2017,15.508110139482636
ID,2018,9.000000000001924
IL,2011,22.00000000200324
IL,2012,184.35309075362204
IL,2013,83.02962422529562
IL,2014,36.00000000000192
IL,2015,48.029624225730316
IL,2016,93.38263352553179
IL,2017,67.7356562788737
IL,2018,126.00000000000192
IN,2011,7.000000002357037
IN,2012,43.353090613413606
IN,2013,19.00000000366881
IN,2014,9.00000000290168
IN,2015,16.000000000001922
IN,2016,12.114521208497226
IN,2017,16.000000003668813
IN,2018,26.000000000001926
KS,2011,4.000000003255481
KS,2012,16.676545570875295
KS,2013,34.00000000000192
KS,2014,18.000000000001926
KS,2015,12.000000000001922
KS,2016,18.000000000001926
KS,2017,12.000000000001922
KS,2018,23.000000002003237
KY,2011,4.000000003255481
KY,2012,12.000000002003237
KY,2013,1.0000000032554812
KY,2014,4.671530429297101e-9
KY,2015,1.0000000032554812
KY,2016,5.000000000001924
KY,2017,6.676545636455538
KY,2018,9.000000000001924
LA,2011,6.000000002003237
LA,2012,143.4494542024025
LA,2013,34.000000000001926
LA,2014,61.00000000000192
LA,2015,37.382657927919
LA,2016,22.174280754199756
LA,2017,34.038625167819795
LA,2018,52.382657941449445
MA,2011,5.00000000366881
MA,2012,25.000000000001922
MA,2013,7.00000000366881
MA,2014,5.000000002357037
MA,2015,7.00000000366881
MA,2016,10.000000000001922
MA,2017,5.00000000366881
MA,2018,42.00000000000192
MD,2011,10.000000002003237
MD,2012,25.000000002003237
MD,2013,11.00000000366881
MD,2014,6.000000002357037
MD,2015,31.00000000366881
MD,2016,5.000000002003237
MD,2017,5.00000000366881
MD,2018,35.00000000000192
ME,2011,4.671530429297099e-9
ME,2012,1.0000000028034701
ME,2013,4.671530429297097e-9
ME,2014,4.671530429297099e-9
ME,2015,1.0000000032554812
ME,2016,4.671530429297099e-9
ME,2017,4.6715304292970974e-9
ME,2018,1.0000000037730865
MI,2011,32.000000000001926
MI,2012,141.00000000000193
MI,2013,24.000000000001922
MI,2014,1.0000000037730865
MI,2015,16.000000002357037
MI,2016,38.11451185660929
MI,2017,30.11451353468838
MI,2018,80.00000000000192
MN,2011,1.0000000037730865
MN,2012,33.00000000200323
MN,2013,31.000000002003237
MN,2014,6.000000002003237
MN,2015,3.000000002357037
MN,2016,35.35309053269263
MN,2017,13.000000000001922
MN,2018,34.00000000000192
MO,2011,5.000000002357037
MO,2012,17.000000002003237
MO,2013,22.114514901460286
MO,2014,9.00000000366881
MO,2015,23.000000002003237
MO,2016,9.000000002357037
MO,2017,17.000000000001926
MO,2018,17.000000002003237
MS,2011,30.50811022766905
MS,2012,93.70615294077409
MS,2013,27.00000000000193
MS,2014,26.000000000001926
MS,2015,22.6765455712919
MS,2016,20.38253713469949
MS,2017,43.353090223468854
MS,2018,27.80803519348798
MT,2011,1.0000000032554812
MT,2012,1.0000000037730865
MT,2013,10.000000002357037
MT,2014,2.000000002357037
MT,2015,3.0000000037730863
MT,2016,3.000000002357037
MT,2017,3.0000000020032367
MT,2018,22.353089014246724
NC,2011,2.0000000034192857
NC,2012,7.000000001170118
NC,2013,3.000000002357037
NC,2014,4.6715304292970974e-9
NC,2015,4.000000002003237
NC,2016,2.0000000034192857
NC,2017,8.000000000001924
NC,2018,10.000000000001922
ND,2011,1.0000000037730865
ND,2012,39.00000000200323
ND,2013,64.00000000000192
ND,2014,12.000000002003237
ND,2015,10.000000002003237
ND,2016,24.00000000000193
ND,2017,20.000000002003237
ND,2018,60.00000000200324
NE,2011,14.00000000366881
NE,2012,36.523978279416234
NE,2013,54.00000000000192
NE,2014,41.00000000000192
NE,2015,19.000000000001926
NE,2016,35.00000000000192
NE,2017,19.000000002003237
NE,2018,120.029622238888
NH,2011,4.671530429297099e-9
NH,2012,1.0000000037730865
NH,2013,1.0000000037730865
NH,2014,4.671530429297099e-9
NH,2015,4.671530429297098e-9
NH,2016,4.671530429297096e-9
NH,2017,4.671530429297101e-9
NH,2018,4.671530429297104e-9
NJ,2011,2.000000002357037
NJ,2012,22.000000000001926
NJ,2013,10.00000000366881
NJ,2014,5.508110319589454
NJ,2015,23.000000000001926
NJ,2016,11.000000000001922
NJ,2017,4.114521263503194
NJ,2018,39.353093954699716
NM,2011,4.000000002357037
NM,2012,24.00000000000193
NM,2013,24.000000000001922
NM,2014,19.000000002357037
NM,2015,11.000000000001922
NM,2016,5.508110171116171
NM,2017,22.000000000001926
NM,2018,5.000000002357037
NV,2011,12.000000002357037
NV,2012,5.000000002003237
NV,2013,8.000000002003237
NV,2014,3.000000002357037
NV,2015,4.000000002357037
NV,2016,13.000000000001922
NV,2017,30.000000002003237
NV,2018,3.0000000032554808
NY,2011,26.11452123964273
NY,2012,61.00000000000192
NY,2013,18.000000000001922
NY,2014,19.000000002357037
NY,2015,42.00000000000192
NY,2016,20.00000000366881
NY,2017,45.00000000000192
NY,2018,73.70613465741198
OH,2011,10.000000002357037
OH,2012,76.00000000000192
OH,2013,21.000000000001926
OH,2014,10.000000002357037
OH,2015,23.000000002003237
OH,2016,12.000000000001922
OH,2017,23.000000000001922
OH,2018,45.00000000000192
OK,2011,1.0000000021139919
OK,2012,103.00000000000192
OK,2013,60.00000000000192
OK,2014,9.000000000001924
OK,2015,48.00000000000192
OK,2016,18.67654559476854
OK,2017,29.353093717098155
OK,2018,11.000000000001922
OR,2011,4.6715304292971016e-9
OR,2012,4.671530429297102e-9
OR,2013,7.000000002003237
OR,2014,7.000000002357037
OR,2015,4.6715304292970974e-9
OR,2016,2.000000003773086
OR,2017,3.0000000034192857
OR,2018,2.000000002357037
PA,2011,5.000000002003237
PA,2012,33.00000000000192
PA,2013,5.000000003419286
PA,2014,11.000000002003237
PA,2015,17.000000000001926
PA,2016,12.000000000001922
PA,2017,15.000000000001922
PA,2018,89.41214003044641
RI,2011,1.0000000037730865
RI,2012,2.0000000032554808
RI,2013,1.0000000032554812
RI,2014,4.671530429297104e-9
RI,2015,4.671530429297098e-9
RI,2016,2.000000003773086
RI,2017,1.0000000032554812
RI,2018,4.671530429297099e-9
SC,2011,4.671530429297101e-9
SC,2012,20.000000000001926
SC,2013,3.00000000138742
SC,2014,3.0000000064580443
SC,2015,4.671530429297101e-9
SC,2016,5.000000001905026
SC,2017,16.000000000001922
SC,2018,8.916330524047744
SD,2011,4.671530429297105e-9
SD,2012,62.00000000000192
SD,2013,57.00000000200324
SD,2014,12.000000002003237
SD,2015,11.000000002003237
SD,2016,35.00000000000192
SD,2017,27.000000002003237
SD,2018,47.00000000200324
TN,2011,16.000000003668813
TN,2012,18.461728732753112
TN,2013,16.000000000001922
TN,2014,12.000000000001922
TN,2015,5.000000002901681
TN,2016,3.0000000020032367
TN,2017,21.000000000001926
TN,2018,11.000000000001922
TX,2011,19.000000000001926
TX,2012,815.23512047554
TX,2013,97.8916382379927
TX,2014,236.11892767582242
TX,2015,182.119167346021
TX,2016,173.07115888370063
TX,2017,77.76508017407757
TX,2018,108.00000000000192
UT,2011,1.0000000032554812
UT,2012,3.000000002357037
UT,2013,4.000000002357037
UT,2014,1.0000000032554812
UT,2015,5.000000002357037
UT,2016,7.000000002357037
UT,2017,39.00000000000192
UT,2018,7.000000002357037
VA,2011,8.000000002003237
VA,2012,20.000000000001926
VA,2013,6.000000002357037
VA,2014,5.000000002357037
VA,2015,13.000000000001922
VA,2016,6.000000002901681
VA,2017,12.000000000001922
VA,2018,35.030185405057495
VT,2011,1.0000000037730865
VT,2012,1.0000000037730865
VT,2013,1.0000000032554812
VT,2014,4.671530429297102e-9
VT,2015,4.671530429297096e-9
VT,2016,2.00000000431773
VT,2017,2.0000000013874204
VT,2018,1.0000000032554812
WA,2011,4.671530429297101e-9
WA,2012,4.000000003773087
WA,2013,4.671530429297108e-9
WA,2014,6.508110280747904
WA,2015,7.5081102808122075
WA,2016,8.000000002003237
WA,2017,10.00000000366881
WA,2018,2.0000000032554808
WI,2011,2.000000002357037
WI,2012,44.00000000200324
WI,2013,17.000000000001922
WI,2014,3.000000002357037
WI,2015,6.000000001176368
WI,2016,10.00000000366881
WI,2017,47.00000000000192
WI,2018,29.000000002003237
WV,2011,2.000000002357037
WV,2012,5.000000002003237
WV,2013,1.0000000037730865
WV,2014,4.6715304292970974e-9
WV,2015,4.6715304292971e-9
WV,2016,4.671530429297105e-9
WV,2017,1.0000000037730865
WV,2018,2.0000000075459456
WY,2011,1.0000000037730865
WY,2012,3.0000000020032367
WY,2013,16.000000002003237
WY,2014,4.671530429297103e-9
WY,2015,3.0000000034192857
WY,2016,7.508109819010777
WY,2017,4.000000002003237
WY,2018,3.0000000020032367
